item_name,item_rating,old_price,special_price 
HP Pavilion 14 Intel® Core™ i5-1235U - 8GB - 512GB SSD - NVIDIA® GeForce® MX550 2GB - 14" FHD - Win11 - Silver , 0% , was EGP28599.00     Special Price EGP25799.00
HP Pavilion 15 Intel® Core™ i7 1255U - 16GB - 1TB SSD - NVIDIA® GeForce® MX550 2GB - 15.6" FHD - Win11 - Silver , 0% , was EGP37399.00     Special Price EGP33699.00
Lenovo ThinkPad E14 - Intel® Core™ i5-1235U - 8GB - 512GB SSD - NVIDIA® GeForce MX550 2GB - 14" FHD - Black , 0% , was EGP40999.00     Special Price EGP36999.00
Itel Spirit 2 - Intel® Core™i5-1155G7- 8GB - 512GB SSD - Intel HD Graphics - 15.6"FHD - Win11 - Grey , 0% , was EGP13999.00     Special Price EGP12999.00
Lenovo IdeaPad 3 15ITL6 - Intel® Core™ i7-1165G7 - 8GB - 1TB - NVIDIA® GeForce® MX450 2GB - 15.6" FHD - Sand , 0% , was EGP25399.00     Special Price EGP23899.00
Lenovo IdeaPad 5 15IAL7 - Intel® Core™ i5-1235U - 8GB - 512GB SSD - Intel Iris Xe Graphics - 15.6"FHD - Win11 - Storm Grey , 0% , was EGP26999.00     Special Price EGP22999.00
Asus TUF Gaming FX517ZM-HN007W - Intel® Core™ i7-12650H - 16GB - 512GB SSD - NVIDIA® GeForce RTX™ 3060 6GB - 15.6" FHD - Win11 - Black , 0% , was EGP54399.00     Special Price EGP48999.00
Asus X543MA-GQ001W - Intel® Celeron N4020 - 4GB - 1TB - Intel® HD Graphics - 15.6" HD - Win11 - Natural Silver , 0% , was EGP8299.00     Special Price EGP7499.00
HP Probook 450 G9 - Intel® Core™ i5-1235U - 8GB - 512GB SSD - Intel® Iris® Xᵉ Graphics - 15.6" FHD - Silver Aluminum , 0% , was EGP31999.00     Special Price EGP27999.00
Lenovo ThinkPad E14 - Intel® Core™ i5-1235U - 8GB - 512GB SSD - NVIDIA® GeForce MX550 2GB - 14" FHD - Black , 0% , was EGP40999.00     Special Price EGP33999.00
Dell Latitude 3520 - Intel® Core™ i5-1135G7 - 8GB - 256GB SSD - Intel Iris Graphics - 15.6" HD - Grey , 0% , was EGP34999.00     Special Price EGP32499.00
Lenovo Gaming 3 - Intel® Core™ i5-12500H - 8GB - 512GB SSD - NVIDIA® GeForce RTX™ 3050 4GB - 15.6" FHD - Win 11 - Grey , 0% , was EGP37999.00     Special Price EGP33999.00
Lenovo ThinkPad E15 - Intel® Core™ i5-1235U - 8GB - 512GB SSD - NVIDIA® GeForce MX550 2GB - 15.6" FHD - Black , 0% , was EGP39999.00     Special Price EGP33999.00
HP ProBook 450 G9 - Intel® Core™ i7-1255U - 8GB - 512GB SSD - NVIDIA GeForce MX570 - 15.6" HD - Silver Aluminum , 0% , was EGP35999.00     Special Price EGP33999.00
Lenovo ThinkPad E15 - Intel® Core™ i7-1255U - 8GB - 512GB SSD - NVIDIA® GeForce MX550 2GB - 15.6" FHD - Black , 0% , was EGP42999.00     Special Price EGP41499.00
HP ProBook 450 G8 -  Intel® Core™ i7-1165G7 - 8GB - 512GB SSD - Intel® Iris® Xᵉ Graphics - 15.6" FHD - Sliver , 0% , was EGP33999.00     Special Price EGP32799.00
Dell Latitude 3420 - Intel® Core™ i5-1135G7 - 8GB - 256GB SSD - Intel Iris Graphics - 14" HD - Grey , 0% , was EGP34999.00     Special Price EGP32999.00
HP Victus 15-fa0087ne - Intel® Core™ i5-12500H - 8GB - 1TB SSD - NVIDIA® GeForce® GTX 1650 4GB - 15.6" FHD - Win11 - Performance Blue , 0% , was EGP35399.00     Special Price EGP29899.00
HP Victus 15-fa0088ne - Intel® Core™ i5-12500H - 8GB - 1TB SSD - NVIDIA® GeForce® GTX 1650 4GB - 15.6" FHD - Win11 - Mica Silver , 0% , was EGP35399.00     Special Price EGP29899.00
HP Victus 15-fa0089ne - Intel® Core™ i5-12500H - 8GB - 1TB SSD - NVIDIA® GeForce® GTX 1650 4GB - 15.6" FHD - Win11 - Ceramic White , 0% , was EGP35399.00     Special Price EGP28999.00
Asus X515EP-EJ005W - Intel® Core™i5-1135G7 - 8GB - 512GB SSD - NVIDIA® GeForce® MX330 2GB - 15.6" FHD - Win11 - Transparent Silver , 0% , was EGP24399.00     Special Price EGP18999.00
Asus X515EP-EJ007W - Intel® Core™i7-1165G7 - 8GB - 512GB SSD - NVIDIA® GeForce® MX330 2GB - 15.6" FHD - Win11 - Transparent Silver , 0% , was EGP29999.00     Special Price EGP23999.00
Asus Zenbook 14 OLED UX3402ZA-OLED005W - Intel® Core™i5-1240P - 8GB - 512GB SSD - Intel Iris Xᵉ - 14" OLED - Win11 - Ponder Blue , 0% , was EGP42699.00     Special Price EGP38499.00
